PO no.,PI no.,Order Date,Receiving CKD Date,Finishing Date,Shipping Date,LEAD TIME TO FINISH,LEAD TIME TO SHIP,LEAD TIME FROM CKD,Generator Serial no.,Canopy Size,"Freq
50? 60?",Voltage,Genset Size,"Engine
Type",Engine Model,Engine Serial no.,Alternator Type,Alternator Model,Alternator S/No.,Controller Model,Controller S/No.
P03066,7493,15/07/2025,9/13/2025,9/18/2025,9/18/2025,65,65,6,25380030,80-100,60,220/380,(114 / 125) kVA,PERKINS,1104C-44TG2,RJ51175R061217L,AQT,A09C167921,0259731/127,DSE 4520 MKII,10952653
P03066,7493,15/07/2025,9/13/2025,9/18/2025,9/18/2025,65,65,6,25380031,80-100,60,220/380,(114 / 125) kVA,PERKINS,1104C-44TG2,RJ51175R061219L,AQT,A09C167921,0259003/127,DSE 4520 MKII,10952654
P03066,7493,15/07/2025,9/13/2025,9/18/2025,9/18/2025,65,65,6,25380032,80-100,60,220/380,(114 / 125) kVA,PERKINS,1104C-44TG2,RJ51175U756616L,AQT,A09C167921,0259718/127,DSE 4520 MKII,10952650
P03066,7493,15/07/2025,9/13/2025,9/18/2025,9/18/2025,65,65,6,25380033,80-100,60,220/380,(114 / 125) kVA,PERKINS,1104C-44TG2,RJ51175U756588L,AQT,A09C167921,0259733/127,DSE 4520 MKII,10891722
P03766,8998,10/09/2025,9/16/2025,9/19/2025,9/19/2025,9,9,4,25380034,45-60,60,220/380,(68 / 75) kVA,PERKINS,1103A-33TG2,DK32000U634037L,LEROY SOMER,TAL042H,45685100035,DSE 6120 MKIII,10854253
P03766,8998,10/09/2025,9/16/2025,9/19/2025,9/19/2025,9,9,4,25380035,45-60,60,220/380,(68 / 75) kVA,PERKINS,1103A-33TG2,DK32000U634794L,LEROY SOMER,TAL042H,45685100034,DSE 6120 MKIII,10854249
P03766,8998,10/09/2025,9/16/2025,9/19/2025,9/19/2025,9,9,4,25380036,45-60,60,220/380,(68 / 75) kVA,PERKINS,1103A-33TG2,DK32000U634038L,LEROY SOMER,TAL042H,45685100036,DSE 6120 MKIII,10854250
P03766,8998,10/09/2025,9/16/2025,9/19/2025,9/19/2025,9,9,4,25380037,45-60,60,220/380,(68 / 75) kVA,PERKINS,1103A-33TG2,DK32000U634094L,LEROY SOMER,TAL042H,45685100037,DSE 6120 MKIII,10854246
P03636,8929,29/08/2025,9/17/2025,9/19/2025,9/19/2025,21,21,3,25380038,45-60,60,220/380,(53.1 / 58.7) kVA,PERKINS,1103A-33TG1,DK32037U638227L,BRUSHLESS AC SYNCHRO. ALTERNATOR,S224G34B2,25010034KS045,DSE 4520 MKII,10952620
P03636,8929,29/08/2025,9/17/2025,9/19/2025,9/19/2025,21,21,3,25380039,45-60,60,220/380,(53.1 / 58.7) kVA,PERKINS,1103A-33TG1,DK32037U637564L,BRUSHLESS AC SYNCHRO. ALTERNATOR,S224G34B2,25060034KS041,DSE 4520 MKII,10952659
P03636,8929,29/08/2025,9/17/2025,9/19/2025,9/19/2025,21,21,3,25380040,45-60,60,220/380,(53.1 / 58.7) kVA,PERKINS,1103A-33TG1,DK32037U637022L,BRUSHLESS AC SYNCHRO. ALTERNATOR,S224G34B2,25060034KS009,DSE 4520 MKII,10952622
P03636,8929,29/08/2025,9/17/2025,9/19/2025,9/19/2025,21,21,3,25380041,45-60,60,220/380,(53.1 / 58.7) kVA,PERKINS,1103A-33TG1,DK32037U637053L,BRUSHLESS AC SYNCHRO. ALTERNATOR,S224G34B2,25060034KS040,DSE 4520 MKII,10952619
P03636,8929,29/08/2025,9/17/2025,9/19/2025,9/19/2025,21,21,3,25380042,45-60,60,220/380,(53.1 / 58.7) kVA,PERKINS,1103A-33TG1,DK32037U637045L,BRUSHLESS AC SYNCHRO. ALTERNATOR,S224G34B2,25060034KS018,DSE 4520 MKII,10952661
P03636,8929,29/08/2025,9/17/2025,9/19/2025,9/19/2025,21,21,3,25380043,45-60,60,220/380,(53.1 / 58.7) kVA,PERKINS,1103A-33TG1,DK32037U636993L,BRUSHLESS AC SYNCHRO. ALTERNATOR,S224G34B2,25060034KS042,DSE 4520 MKII,10952852
P03636,8929,29/08/2025,9/17/2025,9/19/2025,9/19/2025,21,21,3,25380044,45-60,60,220/380,(53.1 / 58.7) kVA,PERKINS,1103A-33TG1,DK32037U637028L,BRUSHLESS AC SYNCHRO. ALTERNATOR,S224G34B2,25010034KS059,DSE 4520 MKII,10952663
P03636,8929,29/08/2025,9/17/2025,9/19/2025,9/19/2025,21,21,3,25380045,45-60,60,220/380,(53.1 / 58.7) kVA,PERKINS,1103A-33TG1,DK32037U638193L,BRUSHLESS AC SYNCHRO. ALTERNATOR,S224G34B2,25060034KS030,DSE 4520 MKII,10952652
P03636,8929,29/08/2025,9/17/2025,9/19/2025,9/19/2025,21,21,3,25380046,45-60,60,220/380,(53.1 / 58.7) kVA,PERKINS,1103A-33TG1,DK32037U638189L,BRUSHLESS AC SYNCHRO. ALTERNATOR,S224G34B2,25060034KS035,DSE 4520 MKII,10952630
P03636,8929,29/08/2025,9/17/2025,9/19/2025,9/19/2025,21,21,3,25380047,45-60,60,220/380,(53.1 / 58.7) kVA,PERKINS,1103A-33TG1,DK32037U637557L,BRUSHLESS AC SYNCHRO. ALTERNATOR,S224G34B2,25060034KS019,DSE 4520 MKII,10952916
P03636,8929,29/08/2025,9/17/2025,9/19/2025,9/19/2025,21,21,3,25380048,45-60,60,220/380,(53.1 / 58.7) kVA,PERKINS,1103A-33TG1,DK32037U637021L,BRUSHLESS AC SYNCHRO. ALTERNATOR,S224G34B2,25060034KS043,DSE 4520 MKII,10952909
P03636,8929,29/08/2025,9/17/2025,9/19/2025,9/19/2025,21,21,3,25380049,45-60,60,220/380,(53.1 / 58.7) kVA,PERKINS,1103A-33TG1,DK32037U637014L,BRUSHLESS AC SYNCHRO. ALTERNATOR,S224G34B2,25060033KS006,DSE 4520 MKII,10952849
P03775,9522,11/09/2025,9/18/2025,9/19/2025,9/20/2025,8,9,2,25380050,230-250,50,230/400,(271 / 302) kVA,CUMMINS,6LTAA9.5G3,93476001,AQT,A06I639238,0213038/300,DSE 6120 MKIII,10851720
P03826,9632,17/09/2025,9/19/2025,9/19/2025,9/19/2025,2,2,1,25380051,45-60,60,220/380,(68 / 75) kVA,PERKINS,1103A-33TG2,DK32000U639377L,AQT,A06I639171,0212241/075,DSE 4520 MKII,10952915
P03676,07291 R1,03/09/2025,09/12/2025,9/19/2025,9/20/2025,16,17,8,25380052,300,60,220/380,(313 / 344) kVA,CUMMINS,6LTAA9.5G1,93485669,BRUSHLESS AC SYNCHRO. ALTERNATOR,TWG II 314C,2505548294,DSE 6120 MKIII,10854006
P03675,05374 R2,03/09/2025,9/17/2025,9/20/2025,9/20/2025,17,17,4,25380053,350-500,60,230/400,(569 / 625) kVA,CUMMINS,QSZ13G3,93921868,STAMFORD,HCI544D1,N25G297570,DSE 7320 MKII,10897425
P03721,08396 R1,08/09/2025,9/17/2025,9/20/2025,9/20/2025,12,12,4,25380054,350-500 OPEN,60,230/400,(569 / 625) kVA,CUMMINS,QSZ13G3,93921866,STAMFORD,HCI544D,A17J423816,DSE 7320 MKII,10897689
P03707,9286,06/09/2025,9/20/2025,9/20/2025,9/20/2025,14,14,1,25380055,135-150,60,220/380,(152 / 169) kVA,PERKINS,1106A-70TAG1,PP82576U094841K,AQT,A06I63545,02135603/169,DSE 4520 MKII,10952844
P03802,9451,15/09/2025,9/20/2025,9/20/2025,9/20/2025,5,5,1,25380056,135-150,60,220/380,(114 / 125) kVA,CUMMINS,6BTA5.9-G2,93470895,LEROY SOMER,TAL044D,46084400004,DSE 7320 MKII,10556516
P03738,8833,08/09/2025,9/17/2025,9/19/2025,9/20/2025,11,12,3,25380057,30,60,220/380,(36 / 40) kVA,KUBOTA,V3300-E2-BG,2NU2781,LEROY SOMER,TAL042C,45433800017,DSE 4520 MKII,10952640
P03712,9292,06/09/2025,09/12/2025,9/19/2025,,13,,8,25380058,45-60,50,230/400,(60 / 66) kVA,CUMMINS,4BTA3.9G2,93444182,AQT,A06I639503,0212004/066,DSE 4520 MKII,10952649
P03704,9083,04/09/2025,9/20/2025,9/22/2025,9/24/2025,18,20,3,25390001,180-200,60,220/380,(200 / 220) kVA,PERKINS,1106A-70TAG4,PR83546R044944K,BRUSHLESS AC SYNCHRO. ALTERNATOR,A06I639168,0213024/219,DSE 4520 MKII,10952827
P03704,9083,04/09/2025,9/20/2025,9/22/2025,9/24/2025,18,20,3,25390002,180-200,60,220/380,(200 / 220) kVA,PERKINS,1106A-70TAG4,PR83546R044943K,BRUSHLESS AC SYNCHRO. ALTERNATOR,A06I639168,0213025/219,DSE 4520 MKII,10952914
P03703-A,9068,04/09/2025,9/20/2025,9/22/2025,9/24/2025,18,20,3,25390003,180-200,60,127/220,(180 / 200) kVA,BAUDOUIN,6M11G4D0/S,4824J003369,BRUSHLESS AC SYNCHRO. ALTERNATOR,S274G120C5,25050120KS025,DSE 6120 MKIII,10854163
P03831,9592,17/09/2025,9/20/2025,9/22/2025,9/24/2025,5,7,3,25390004,20,60,220/380,(24 / 27) kVA,PERKINS,404D-22G1,GN83537U095382L,AQT,A06I630007,02120318/027,DSE 4520 MKII,10952843
P03703-A,9068,04/09/2025,9/20/2025,9/22/2025,9/24/2025,18,20,3,25390005,30,60,127/220,(22.5 / 25) kVA,BAUDOUIN,4M06G2D0/S,5624K014153,BRUSHLESS AC SYNCHRO. ALTERNATOR,S184G18D7,25060018KS015,DSE 4520 MKII,10952839
P03703-A,9068,04/09/2025,9/20/2025,9/22/2025,9/24/2025,18,20,3,25390006,30,60,127/220,(22.5 / 25) kVA,BAUDOUIN,4M06G2D0/S,5624J012765,BRUSHLESS AC SYNCHRO. ALTERNATOR,S184G18D7,25060018KS023,DSE 4520 MKII,10952843
P03803,9529,15/09/2025,9/20/2025,9/22/2025,9/24/2025,7,9,3,25390007,30,60,220/380,(36 / 40) kVA,KUBOTA,V3300-E2-BG,2SC4891,LEROY SOMER,TAL042C,46149100054,DSE 4520 MKII,10952839
P03811,9594,15/09/2025,9/22/2025,9/23/2025,9/24/2025,8,9,2,25390008,9-20 OPEN,60,220/380,(18 / 20) kVA,PERKINS,403A-15G2,GU51794R070904K,AQT,A0/K911384,0234557/020,DSE 4520 MKII,10952826
P03811,9594,15/09/2025,9/22/2025,9/23/2025,9/24/2025,8,9,2,25390009,9-20 OPEN,60,220/380,(18 / 20) kVA,PERKINS,403A-15G2,GU51794R070926K,AQT,A0/K911384,0234553/020,DSE 4520 MKII,10952912
P03811,9594,15/09/2025,9/22/2025,9/23/2025,9/24/2025,8,9,2,25390010,9-20 OPEN,60,220/380,(18 / 20) kVA,PERKINS,403A-15G2,GU51794U096628L,AQT,A0/K911384,0234552/020,DSE 4520 MKII,10952851
P03779,9268,11/09/2025,9/22/2025,9/24/2025,9/24/2025,13,13,3,25390011,80-100,50,230/400,(80 / 88) kVA,PERKINS,1104A-44TG2,RS51277U760227L,LEROY SOMER,TAL044B,46141700039,DSE 4520 MKII,10952828
P03761,9287,10/09/2025,9/22/2025,9/25/2025,9/25/2025,15,15,4,25390012,750-800,60,220/380,(688 / 750) kVA,CUMMINS,QSK19G5,41389846,STAMFORD,HCI534E1,N25F254615,DSE 7320 MKII,10897800
P03761,9287,10/09/2025,9/22/2025,9/25/2025,9/25/2025,15,15,4,25390013,750-800,60,220/380,(688 / 750) kVA,CUMMINS,QSK19G5,41389847,STAMFORD,HCI534E1,N25F254653,DSE 7320 MKII,10897629
P03761,9287,10/09/2025,9/22/2025,9/25/2025,9/25/2025,15,15,4,25390014,750-800,60,220/380,(688 / 750) kVA,CUMMINS,QSK19G5,41389849,STAMFORD,HCI534E1,N25F254632,DSE 7320 MKII,10897634
P03823,9643,17/09/2025,9/24/2025,9/24/2025,9/24/2025,7,7,1,25390015,350-500 OPEN,60,220/380,(344 / 395) kVA,CUMMINS,QSL9G5,84562637,LEROY SOMER,TAL046F,45218900014,DSE 6120 MKIII,10854158
P03823,9643,17/09/2025,9/24/2025,9/24/2025,9/24/2025,7,7,1,25390016,350-500 OPEN,60,220/380,(344 / 395) kVA,CUMMINS,QSL9G5,84560989,LEROY SOMER,TAL046F,45218900011,DSE 6120 MKIII,10854159
P03760,6226,,9/25/2025,9/25/2025,9/25/2025,,,1,25390017,700-800 OPEN,60,230/400,(826 / 909) kVA,PERKINS,2806A-E18TTAG5,JGEF8099N02528L,LEROY SOMER,TALA49B,842332001,DSE 7320 MKII,10897720
P03761,9287,10/09/2025,9/23/2025,9/25/2025,9/25/2025,15,15,3,25390018,350-500,60,220/380,(479 / 523) kVA,CUMMINS,QSG12-G4,77832970,STAMFORD,HCI544D1,N25G297398,DSE 7320 MKII,10897683
P03741,9405,08/09/2025,9/23/2025,9/25/2025,9/25/2025,17,17,3,25390019,600-650 OPEN,60,220/380,(569 / 625) kVA,CUMMINS,KTA19G4,25506341,LEROY SOMER,TAL0473C,45735200012,DSE 6120 MKIII,10851722
P03777,9178,11/09/2025,9/25/2025,9/27/2025,9/30/2025,16,19,3,25390020,180-200,60,220/380,(200 / 220) kVA,PERKINS,1106A-70TAG3,PR83659U096836L,AQT,A06I639168,0213024/219,DSE 4520 MKII,10952892
P03834,9658,17/09/2025,9/25/2025,9/27/2025,9/30/2025,10,13,3,25390021,80-100,60,220/380,(90 / 100) kVA,CUMMINS,4BTA3.9G11,93444180,LEROY SOMER,TAL044B,46141700049,DSE 4520 MKII,10952835
